path	n_events	mean_inf_pct	median_inf_pct	match_avg_pct
long_content_30k_001/long30k_159_gc4000_rp0.01_mr4E-5_ss50.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_160_gc2500_rp0.02_mr4E-5_ss50.fa	2	2.625	2.625	98.103
long_content_30k_001/long30k_161_gc3250_rp0.01_mr4E-5_ss100.fa	13	3.553	3.646	96.338
long_content_30k_001/long30k_162_gc4000_rp0.01_mr12E-5_ss50.fa	9	7.427	7.424	93.893
long_content_30k_001/long30k_163_gc3250_rp0.01_mr8E-5_ss100.fa	12	2.918	2.918	97.038
long_content_30k_001/long30k_164_gc2500_rp0.005_mr12E-5_ss200.fa	30	8.729	6.417	76.792
long_content_30k_001/long30k_165_gc4000_rp0.02_mr8E-5_ss50.fa	3	2.602	2.601	97.082
long_content_30k_001/long30k_166_gc3250_rp0.01_mr12E-5_ss200.fa	30	16.047	16.109	88.786
long_content_30k_001/long30k_167_gc3250_rp0.01_mr4E-5_ss200.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_168_gc2500_rp0.02_mr4E-5_ss100.fa	10	1.250	1.260	98.498
long_content_30k_001/long30k_169_gc2500_rp0.005_mr4E-5_ss100.fa	30	0.904	0.789	97.164
long_content_30k_001/long30k_170_gc2500_rp0.005_mr8E-5_ss50.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_171_gc3250_rp0.005_mr4E-5_ss100.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_172_gc2500_rp0.02_mr8E-5_ss200.fa	30	5.126	5.874	95.191
long_content_30k_001/long30k_173_gc3250_rp0.005_mr8E-5_ss50.fa	1	2.932	2.932	96.916
long_content_30k_001/long30k_174_gc3250_rp0.02_mr4E-5_ss100.fa	14	0.918	0.933	99.045
long_content_30k_001/long30k_175_gc3250_rp0.005_mr12E-5_ss50.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_176_gc4000_rp0.02_mr12E-5_ss50.fa	4	5.459	5.496	96.232
long_content_30k_001/long30k_177_gc4000_rp0.01_mr4E-5_ss100.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_178_gc4000_rp0.005_mr12E-5_ss50.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_179_gc3250_rp0.005_mr8E-5_ss200.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_180_gc2500_rp0.01_mr8E-5_ss200.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_181_gc4000_rp0.005_mr8E-5_ss200.fa	30	6.425	6.886	94.626
long_content_30k_001/long30k_182_gc4000_rp0.005_mr12E-5_ss200.fa	2	5.050	5.050	97.381
long_content_30k_001/long30k_183_gc4000_rp0.005_mr8E-5_ss100.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_184_gc4000_rp0.01_mr12E-5_ss100.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_185_gc3250_rp0.01_mr8E-5_ss200.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_186_gc3250_rp0.02_mr12E-5_ss200.fa	5	9.472	9.399	93.548
long_content_30k_001/long30k_187_gc2500_rp0.01_mr4E-5_ss100.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_188_gc4000_rp0.01_mr4E-5_ss200.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_189_gc2500_rp0.005_mr4E-5_ss200.fa	30	2.240	2.469	94.940
long_content_30k_001/long30k_190_gc4000_rp0.005_mr4E-5_ss100.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_191_gc3250_rp0.005_mr12E-5_ss100.fa	12	6.413	7.197	94.814
long_content_30k_001/long30k_192_gc2500_rp0.01_mr4E-5_ss200.fa	30	2.120	2.104	98.406
long_content_30k_001/long30k_193_gc4000_rp0.02_mr4E-5_ss200.fa	6	4.125	3.975	95.943
long_content_30k_001/long30k_194_gc4000_rp0.02_mr4E-5_ss50.fa	2	2.403	2.403	97.968
long_content_30k_001/long30k_195_gc2500_rp0.005_mr4E-5_ss50.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_196_gc2500_rp0.02_mr8E-5_ss100.fa	11	3.098	3.633	96.603
long_content_30k_001/long30k_197_gc2500_rp0.01_mr12E-5_ss50.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_198_gc4000_rp0.005_mr4E-5_ss200.fa	3	2.269	2.269	96.945
long_content_30k_001/long30k_199_gc2500_rp0.005_mr12E-5_ss50.fa	9	2.552	2.552	96.461
long_content_30k_001/long30k_200_gc3250_rp0.02_mr12E-5_ss50.fa	11	8.615	9.218	91.801
long_content_30k_001/long30k_201_gc4000_rp0.02_mr12E-5_ss200.fa	30	7.955	7.658	92.955
long_content_30k_001/long30k_202_gc3250_rp0.01_mr12E-5_ss50.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_203_gc3250_rp0.02_mr8E-5_ss100.fa	30	3.216	2.050	96.146
long_content_30k_001/long30k_204_gc3250_rp0.01_mr4E-5_ss50.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_205_gc3250_rp0.005_mr8E-5_ss100.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_206_gc4000_rp0.01_mr8E-5_ss50.fa	1	4.261	4.261	96.220
long_content_30k_001/long30k_207_gc3250_rp0.01_mr8E-5_ss50.fa	6	4.815	4.181	96.149
long_content_30k_001/long30k_208_gc4000_rp0.005_mr12E-5_ss100.fa	11	2.028	2.000	97.186
long_content_30k_001/long30k_209_gc3250_rp0.02_mr8E-5_ss50.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_210_gc4000_rp0.01_mr12E-5_ss200.fa	30	2.199	2.224	86.931
long_content_30k_001/long30k_211_gc4000_rp0.005_mr4E-5_ss50.fa	0	0.000	0.000	0.000
